Product_Name,Rating,Customer_Rated,Price
Fire TV Stick 4K streaming device with Alexa Voice Remote | Dolby Vision | 2018 release,4.7 out of 5 stars,"503,520",$49.99
Echo Show 5 -- Smart display with Alexa – stay connected with video calling - Charcoal,4.6 out of 5 stars,"285,894",$45.98
"All-new Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",4.7 out of 5 stars,"112,386",$59.99
Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,4.8 out of 5 stars,"79,699",$28.88
"Fire 7 tablet (7"" display, 16 GB) - Black",4.4 out of 5 stars,"149,678",$82.97
Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Controls,4.7 out of 5 stars,"61,079",$47.47
Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Ad-Supported + Kindle Unlimited (with auto-renewal),4.6 out of 5 stars,"91,210",$129.99
"Wyze Cam 1080p HD Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant…",4.5 out of 5 stars,"97,869",$38.00
"GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers…",4.8 out of 5 stars,"44,009",$13.86
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height…,4.7 out of 5 stars,"7,004",$164.99
Hisense 43-Inch 43H5500G Full HD Smart Android TV with Voice Remote (2020 Model),4.3 out of 5 stars,"2,667",$234.50
"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable",4.7 out of 5 stars,"53,321",$34.99
All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,4.8 out of 5 stars,"25,549",$59.99
Ring Rechargeable Battery Pack,4.8 out of 5 stars,"46,339",$29.99
"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",4.8 out of 5 stars,"28,101",$35.00
"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection…",4.5 out of 5 stars,"23,237",$224.98
Echo Show 8 -- HD smart display with Alexa – stay connected with video calling - Charcoal,4.7 out of 5 stars,"146,627",$79.99
Fujifilm Instax Mini Instant Film Twin Pack (White),4.8 out of 5 stars,"49,870",$13.38
Nintendo Switch Pro Controller,4.9 out of 5 stars,"34,621",$48.99
Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS),4.6 out of 5 stars,"53,183",$6.00
"OHill Cable Clips, 16 Pack Black Cord Organizer Cable Management for Organizing Cable Cords Home and Office, Self…",4.5 out of 5 stars,"22,826",0
"Fire HD 8 tablet, 8"" HD display, 32 GB, designed for portable entertainment, Black",4.6 out of 5 stars,"68,922",$134.99
"Majority Bowfell Small Sound Bar for TV with Bluetooth, RCA, USB, Opt, AUX Connection, Mini Sound/Audio System for TV…",4.2 out of 5 stars,"3,267",$36.95
"TP-Link AC1750 Smart WiFi Router (Archer A7) - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa…",4.5 out of 5 stars,"38,775",$56.99
"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model, 8th Generation)",4.9 out of 5 stars,"20,369",0
